Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763843730334,10.44,109366476,16578573762,0,0,134,98
user generation,1763843741933,12.99,112302489,16578573762,0,0,1855979,1331691
user generation,1763843753511,11.89,115028787,16578573762,0,0,3732930,2652897
user generation,1763843765129,11.77,118908518,16578573762,0,0,5641338,3953131
user generation,1763843777409,13.76,122368819,16578573762,0,0,7738490,5421137
user generation,1763843789009,12.9,125724262,16578573762,0,0,9709813,6784286
user generation,1763843800604,11.6,128031129,16578573762,0,0,11744051,8189378
user generation,1763843812198,11.71,131596288,16578573762,0,0,13841203,9583984
user generation,1763843823778,12.41,134846873,16578573762,0,0,15833497,11010048
user generation,1763843835378,12.51,137573171,16578573762,0,0,17825792,12373196
user generation,1763843847429,11.54,142501478,16578573762,0,0,19608371,13631488
user generation,1763843859024,11.92,145227776,16578573762,0,0,21705523,14994636
user generation,1763843870626,11.8,148897792,16578573762,0,0,23907532,16462643
user generation,1763843882221,11.88,152462950,16578573762,0,0,26004684,17930649
user generation,1763843893802,13.24,154979532,16578573762,0,0,27892121,19188940
user generation,1763843905388,13.05,157810688,16578573762,0,0,29569843,20447232
user generation,1763843917475,14.15,161166131,16578573762,0,0,31666995,21915238
user generation,1763843929078,12.37,163577856,16578573762,0,0,33659289,23278387
user generation,1763843940656,13.55,165989580,16578573762,0,0,35337011,24431820
user generation,1763843952295,12.77,167981875,16578573762,0,0,36909875,25585254
user generation,1763843963887,11.66,170917888,16578573762,0,0,38797312,26843545
user generation,1763843975481,12.73,173539328,16578573762,0,0,40789606,28206694
user generation,1763843987536,12.53,176265625,16578573762,0,0,42886758,29674700
user generation,1763843999140,12.2,179725926,16578573762,0,0,44879052,31037849
user generation,1763844010726,12.63,182557081,16578573762,0,0,46871347,32296140
user generation,1763844022336,12.7,185178521,16578573762,0,0,48653926,33554432
user generation,1763844033941,13.99,189058252,16578573762,0,0,50331648,34707865
user generation,1763844045524,14.11,191994265,16578573762,0,0,51904512,35861299
user generation,1763844057567,11.56,194930278,16578573762,0,0,54001664,37224448
user generation,1763844069150,13.45,198285721,16578573762,0,0,55784243,38482739
user generation,1763844080722,13.64,200802304,16578573762,0,0,57566822,39741030
update 10 percent,1763844092306,11.9,208247193,16578573762,0,0,59559116,61446553
update 50 percent,1763844103879,12.44,219047526,16578573762,0,0,64487424,72037171
update 50 percent,1763844115449,11.94,219047526,16578573762,0,0,67004006,75602329
update 50 percent,1763844127646,11.48,219152384,16578573762,0,0,69625446,79691776
delete 15 percent with friends,1763844139225,11.66,219571814,16578573762,0,0,71617740,86507520
delete 15 percent with friends,1763844150796,12.2,219571814,16578573762,0,0,73610035,88080384
delete 15 percent with friends,1763844162381,15.43,219676672,16578573762,0,0,75497472,89338675
delete 15 percent with friends,1763844173962,15.35,219676672,16578573762,0,0,77175193,90701824
delete 15 percent with friends,1763844185533,12.36,220410675,16578573762,0,0,79377203,92274688
delete 15 percent with friends,1763844197679,12.38,220410675,16578573762,0,0,81684070,93952409
