Operation,Time (ms)
Generate starting users,14308
Find all and interact with many to many relation,100
Find by id,22
Delete by id with all friendships,32
Count all,193
Update user,25
Find 500(10 percent) random users,30
Update address for 500(10 percent) random users,571
Find 2500(50 percent) random users,39
Update address for 2500(50 percent) random users,1805
Delete users with friends for 750(15 percent) random users,3327
Delete all users,86
