Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763830548749,24.93,1301375090,16578573762,0,0,196,123
user generation,1763830550819,28.26,1302448832,16578573762,0,0,492,255
user generation,1763830552885,28.75,1302448832,16578573762,0,0,831,406
user generation,1763830554957,29.71,1302448832,16578573762,0,0,1226833,558
user generation,1763830557970,28.78,1302448832,16578573762,0,0,1740636,774
user generation,1763830560050,28.73,1305670057,16578573762,0,0,2086666,923
user generation,1763830562112,30.45,1305670057,16578573762,0,0,2453667,1132462
user generation,1763830564182,28.63,1306743799,16578573762,0,0,2831155,1300234
user generation,1763830567190,29.28,1306743799,16578573762,0,0,3334471,1520435
user generation,1763830569266,28.52,1307817541,16578573762,0,0,3701473,1688207
user generation,1763830571336,29.06,1308891283,16578573762,0,0,4068474,1845493
user generation,1763830573413,29.38,1308891283,16578573762,0,0,4445962,2023751
user generation,1763830575487,30.52,1308891283,16578573762,0,0,4833935,2191523
user generation,1763830578503,29.55,1309965025,16578573762,0,0,5379194,2432696
user generation,1763830580579,29.66,1309965025,16578573762,0,0,5767168,2610954
user generation,1763830582654,28.93,1309965025,16578573762,0,0,6165626,2778726
user generation,1763830584741,31.12,1311038767,16578573762,0,0,6532628,2946498
delete 1 by id with friendships,1763830587755,30.08,1311038767,16578573762,0,0,7046430,3177185
update 10 percent,1763830589868,62.72,1313186250,16578573762,0,0,7308574,3711959
update 50 percent,1763830591944,65.38,1314259992,16578573762,0,0,7906263,4225761
update 50 percent,1763830594021,68.6,1314259992,16578573762,0,0,8336179,4435476
update 50 percent,1763830597032,64.15,1314259992,16578573762,0,0,8996782,4760535
update 50 percent,1763830599104,66.19,1314259992,16578573762,0,0,9510584,5012193
delete 15 percent with friends,1763830601179,63.07,1314259992,16578573762,0,0,9783214,5337251
delete 15 percent with friends,1763830603250,63.64,1314259992,16578573762,0,0,9992929,5431623
delete 15 percent with friends,1763830605326,61.54,1316407476,16578573762,0,0,10202644,5515509
delete 15 percent with friends,1763830608332,63.78,1316407476,16578573762,0,0,10485760,5651824
delete 15 percent with friends,1763830610406,62.15,1316407476,16578573762,0,0,10695475,5746196
delete 15 percent with friends,1763830612480,63.48,1316407476,16578573762,0,0,11010048,5851054
delete all,1763830614555,63.46,1316407476,16578573762,0,0,11219763,5945425
