Operation,Time (ms)
Generate starting users,350282
Find all and interact with many to many relation,381
Find by id,75
Delete by id with all friendships,95
Count all,251
Update user,47
Find 5000(10 percent) random users,88
Update address for 5000(10 percent) random users,68492
Find 25000(50 percent) random users,329
Update address for 25000(50 percent) random users,265955
Delete users with friends for 7500(15 percent) random users,412642
Delete all users,1069
