Operation,Time (ms)
Generate starting users,43660
Find all and interact with many to many relation,131
Find by id,36
Delete by id with all friendships,63
Count all,265
Update user,31
Find 500(10 percent) random users,24
Update address for 500(10 percent) random users,3197
Find 2500(50 percent) random users,45
Update address for 2500(50 percent) random users,9382
Delete users with friends for 750(15 percent) random users,17111
Delete all users,332
