Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763837012171,18.17,281752371,16578573762,0,0,150,75
user generation,1763837023739,20.73,283639808,16578573762,0,0,2600468,1258291
user generation,1763837035314,19.84,292238131,16578573762,0,0,5200936,2516582
user generation,1763837046892,21.81,296851865,16578573762,0,0,7832862,3795845
user generation,1763837058690,21.03,307652198,16578573762,0,0,10590617,5106565
user generation,1763837070700,20.59,315935948,16578573762,0,0,13421772,6480199
user generation,1763837082271,22.19,326631424,16578573762,0,0,16148070,7822376
user generation,1763837093847,20.07,332922880,16578573762,0,0,18979225,9164554
user generation,1763837105433,20.39,337851187,16578573762,0,0,21705523,10485760
user generation,1763837117006,21.23,348546662,16578573762,0,0,24536678,11848908
user generation,1763837128713,31.48,357774131,16578573762,0,0,27367833,13212057
user generation,1763837140721,20.58,366582169,16578573762,0,0,30303846,14680064
user generation,1763837152293,22.13,377277644,16578573762,0,0,33030144,16043212
user generation,1763837163871,20.8,384198246,16578573762,0,0,35861299,17406361
user generation,1763837175437,21.17,390804275,16578573762,0,0,38692454,18769510
user generation,1763837187011,21.73,398458880,16578573762,0,0,41418752,20027801
user generation,1763837198773,21.29,411880652,16578573762,0,0,44354764,21495808
user generation,1763837210783,20.7,424987852,16578573762,0,0,47290777,22858956
user generation,1763837222344,22.13,435159040,16578573762,0,0,50017075,24222105
user generation,1763837233925,21.28,443862220,16578573762,0,0,52953088,25585254
user generation,1763837245496,21.27,450258534,16578573762,0,0,55679385,26948403
user generation,1763837257071,22.2,459381145,16578573762,0,0,58510540,28311552
user generation,1763837268809,21.7,476158361,16578573762,0,0,61341696,29674700
user generation,1763837280817,21.82,482764390,16578573762,0,0,64172851,31037849
user generation,1763837292391,22.33,491257856,16578573762,0,0,67004006,32400998
user generation,1763837303960,20.48,497759027,16578573762,0,0,69730304,33764147
user generation,1763837315542,20.66,507091353,16578573762,0,0,72561459,35127296
user generation,1763837327127,21.34,509188505,16578573762,0,0,75392614,36490444
user generation,1763837338858,20.63,509083648,16578573762,0,0,78223769,37853593
user generation,1763837350870,21.19,509188505,16578573762,0,0,81054924,39216742
user generation,1763837362465,21.44,509503078,16578573762,0,0,83886080,40579891
user generation,1763837374049,20.57,509922508,16578573762,0,0,86717235,41943040
user generation,1763837385629,20.37,509817651,16578573762,0,0,89548390,43306188
user generation,1763837397219,23.13,512019660,16578573762,0,0,92379545,44669337
user generation,1763837408911,21.76,512124518,16578573762,0,0,95000985,45927628
user generation,1763837420925,22.47,512334233,16578573762,0,0,97622425,47290777
user generation,1763837432502,15.27,512019660,16578573762,0,0,99405004,48129638
user generation,1763837444080,15.31,512124518,16578573762,0,0,101292441,49073356
user generation,1763837455660,15.43,513907097,16578573762,0,0,103179878,49912217
user generation,1763837467231,16.15,516213964,16578573762,0,0,104857600,50855936
user generation,1763837478959,15.44,518311116,16578573762,0,0,106954752,51694796
user generation,1763837490985,19.81,518835404,16578573762,0,0,109051904,52638515
user generation,1763837502552,14.75,522924851,16578573762,0,0,110100480,53582233
user generation,1763837514123,14.26,525126860,16578573762,0,0,112197632,54421094
