Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763833784770,17.27,174378188,16578573762,0,0,165,81
user generation,1763833791974,20.05,174378188,16578573762,0,0,1709178,789
user generation,1763833798543,19.87,180879360,16578573762,0,0,3156213,1530920
user generation,1763833805117,22.43,182871654,16578573762,0,0,4603248,2233466
user generation,1763833811984,19.91,187590246,16578573762,0,0,6102712,2956984
user generation,1763833818559,20.53,189897113,16578573762,0,0,7665090,3711959
user generation,1763833825133,21.05,193986560,16578573762,0,0,9248440,4477419
user generation,1763833832018,20.75,198390579,16578573762,0,0,10905190,5295308
user generation,1763833838592,21.04,204996608,16578573762,0,0,12582912,6071255
user generation,1763833845166,20.95,209610342,16578573762,0,0,14155776,6836715
user generation,1763833852031,21.24,215796940,16578573762,0,0,15833497,7654604
user generation,1763833858605,20.96,220200960,16578573762,0,0,17406361,8441036
user generation,1763833865175,22.15,226597273,16578573762,0,0,18979225,9206497
user generation,1763833872055,21.24,229323571,16578573762,0,0,20656947,10024386
user generation,1763833878628,21.77,233727590,16578573762,0,0,22334668,10800332
user generation,1763833885200,21.82,240019046,16578573762,0,0,23907532,11534336
user generation,1763833892054,20.74,242221056,16578573762,0,0,25585254,12373196
user generation,1763833898629,20.29,249665945,16578573762,0,0,27158118,13107200
user generation,1763833905206,21.46,257005977,16578573762,0,0,28730982,13946060
user generation,1763833912070,20.32,261095424,16578573762,0,0,30408704,14680064
user generation,1763833918646,19.79,265709158,16578573762,0,0,31981568,15518924
user generation,1763833925218,22.23,271790899,16578573762,0,0,33554432,16252928
user generation,1763833932099,20.61,276090060,16578573762,0,0,35337011,17091788
user generation,1763833938669,20.66,282696089,16578573762,0,0,36909875,17825792
user generation,1763833945233,21.94,286995251,16578573762,0,0,38482739,18664652
user generation,1763833952112,20.5,289092403,16578573762,0,0,40160460,19503513
user generation,1763833958681,20.39,295698432,16578573762,0,0,41838182,20237516
user generation,1763833965253,21.55,302619033,16578573762,0,0,43411046,20971520
user generation,1763833972146,21.26,308700774,16578573762,0,0,45193625,21810380
user generation,1763833978712,21.31,317508812,16578573762,0,0,46766489,22649241
user generation,1763833985280,22.35,321807974,16578573762,0,0,48339353,23383244
user generation,1763833992150,21.18,324009984,16578573762,0,0,50017075,24222105
user generation,1763833998718,20.8,330406297,16578573762,0,0,51589939,24956108
user generation,1763834005296,22.39,336697753,16578573762,0,0,53162803,25794969
user generation,1763834012170,20.94,339004620,16578573762,0,0,54945382,26528972
user generation,1763834018745,20.67,345610649,16578573762,0,0,56518246,27367833
user generation,1763834025336,21.82,352006963,16578573762,0,0,58091110,28101836
user generation,1763834032182,21.23,360500428,16578573762,0,0,59768832,28940697
user generation,1763834038767,20.89,369308467,16578573762,0,0,61341696,29674700
user generation,1763834045347,22.13,375599923,16578573762,0,0,63019417,30513561
user generation,1763834052194,20.98,375495065,16578573762,0,0,64697139,31352422
user generation,1763834058771,20.87,383988531,16578573762,0,0,66270003,32086425
user generation,1763834065343,23.35,384303104,16578573762,0,0,67842867,32820428
user generation,1763834072238,20.5,388287692,16578573762,0,0,69520588,33659289
user generation,1763834078819,20.71,392901427,16578573762,0,0,71198310,34393292
user generation,1763834085401,20.49,401604608,16578573762,0,0,72771174,35232153
user generation,1763834092232,21.08,416704102,16578573762,0,0,74344038,35966156
update 10 percent,1763834098810,18.9,435997900,16578573762,0,0,75916902,155189248
update 10 percent,1763834105401,20.46,435997900,16578573762,0,0,77909196,156237824
update 50 percent,1763834112234,17.77,440192204,16578573762,0,0,81264640,200278016
update 50 percent,1763834118828,19.63,436207616,16578573762,0,0,83256934,201326592
update 50 percent,1763834125402,19.7,436102758,16578573762,0,0,85458944,201326592
update 50 percent,1763834132240,19.72,436207616,16578573762,0,0,87870668,202375168
update 50 percent,1763834138826,18.96,436417331,16578573762,0,0,90072678,203423744
update 50 percent,1763834145412,20.62,452041113,16578573762,0,0,92379545,203423744
update 50 percent,1763834152258,19.85,454243123,16578573762,0,0,94686412,204472320
update 50 percent,1763834158846,19.39,458332569,16578573762,0,0,96888422,205520896
update 50 percent,1763834165420,19.63,462841446,16578573762,0,0,99090432,206569472
update 50 percent,1763834172269,18.83,466826035,16578573762,0,0,101397299,206569472
update 50 percent,1763834178870,19.57,469447475,16578573762,0,0,103599308,207618048
delete 15 percent with friends,1763834185464,22.33,481820672,16578573762,0,0,105906176,236978176
delete 15 percent with friends,1763834192267,20.13,479723520,16578573762,0,0,106954752,238026752
delete 15 percent with friends,1763834198854,21.13,481820672,16578573762,0,0,108003328,239075328
delete 15 percent with friends,1763834205433,21.71,481610956,16578573762,0,0,109051904,240123904
delete 15 percent with friends,1763834212297,21.62,481401241,16578573762,0,0,110100480,241172480
delete 15 percent with friends,1763834218877,21.76,481401241,16578573762,0,0,111149056,242221056
delete 15 percent with friends,1763834225468,22.07,481506099,16578573762,0,0,113246208,243269632
