Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763830916287,4.86,12415139,16578573762,0,0,533,44
user generation,1763830922871,8.6,29202841,16578573762,0,0,13946060,636
user generation,1763830929449,8.83,53194260,16578573762,0,0,32505856,1352663
user generation,1763830936644,9.06,81631641,16578573762,0,0,54630809,2107637
user generation,1763830943213,9.53,109995622,16578573762,0,0,76650905,2820669
user generation,1763830949778,9.72,139880038,16578573762,0,0,99929292,3544186
user generation,1763830956680,9.59,172595609,16578573762,0,0,125829120,4309647
user generation,1763830963248,10.33,204786892,16578573762,0,0,149946368,5043650
user generation,1763830969820,9.41,236663603,16578573762,0,0,175112192,5767168
user generation,1763830976709,9.74,270742323,16578573762,0,0,202375168,6522142
user generation,1763830983286,9.79,302199603,16578573762,0,0,226492416,7214202
user generation,1763830989866,9.81,335649177,16578573762,0,0,253755392,7937720
user generation,1763830996723,9.71,371510476,16578573762,0,0,281018368,8692695
user generation,1763831003304,10.08,405484339,16578573762,0,0,308281344,9416212
user generation,1763831009873,9.55,441135923,16578573762,0,0,335544320,10139729
user generation,1763831016714,9.93,477940940,16578573762,0,0,364904448,10905190
user generation,1763831023295,9.72,513592524,16578573762,0,0,393216000,11639193
user generation,1763831029866,9.5,548405248,16578573762,0,0,420478976,12373196
user generation,1763831036746,9.69,584685977,16578573762,0,0,448790528,13107200
user generation,1763831043324,9.85,620756992,16578573762,0,0,477102080,13736345
count all with more than 1 friend,1763831049898,9.5,656408576,16578573762,0,0,505413632,14470348
count all with more than 1 friend,1763831056775,5.53,660498022,16578573762,0,0,508559360,64697139
count all with more than 1 friend,1763831063355,6.28,658505728,16578573762,0,0,509607936,119537664
count all with more than 1 friend,1763831069926,5.82,658400870,16578573762,0,0,510656512,173015040
count all with more than 1 friend,1763831076786,5.91,658610585,16578573762,0,0,511705088,231735296
count all with more than 1 friend,1763831083363,5.9,658296012,16578573762,0,0,512753664,291504128
count all with more than 1 friend,1763831089934,5.66,658400870,16578573762,0,0,513802240,350224384
count all with more than 1 friend,1763831096805,5.48,658400870,16578573762,0,0,515899392,408944640
count all with more than 1 friend,1763831103373,5.84,658296012,16578573762,0,0,516947968,468713472
find 1 by id,1763831109943,5.51,660602880,16578573762,0,0,517996544,527433728
find 1 by id,1763831116826,5.82,660707737,16578573762,0,0,519045120,586153984
find 1 by id,1763831123396,5.75,660498022,16578573762,0,0,520093696,644874240
find 1 by id,1763831129971,5.68,658400870,16578573762,0,0,522190848,702545920
find 1 by id,1763831136829,5.64,658505728,16578573762,0,0,523239424,763363328
find 1 by id,1763831143403,5.97,658296012,16578573762,0,0,524288000,822083584
find 1 by id,1763831149972,4.85,658296012,16578573762,0,0,525336576,871366656
find 1 by id,1763831156837,5.27,658505728,16578573762,0,0,526385152,924844032
find 1 by id,1763831163428,5.4,658296012,16578573762,0,0,527433728,977272832
delete 1 by id with friendships,1763831170001,5.32,660498022,16578573762,0,0,528482304,1029701632
delete 1 by id with friendships,1763831176848,5.39,658505728,16578573762,0,0,529530880,1105954078
delete 1 by id with friendships,1763831183424,5.18,658296012,16578573762,0,0,530579456,1159641169
delete 1 by id with friendships,1763831190023,5.2,658610585,16578573762,0,0,531628032,1213328261
