Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763887906131,4.9,13306429,16578573762,0,0,452,42
user generation,1763887932709,9.07,101669928,16578573762,0,0,69310873,2705326
user generation,1763887959277,9.32,226072985,16578573762,0,0,165675008,5735710
user generation,1763887985836,9.16,361863577,16578573762,0,0,271581184,8776581
user generation,1763888012408,9.89,506147635,16578573762,0,0,383778816,11848908
user generation,1763888038977,9.43,653157990,16578573762,0,0,500170752,14889779
user generation,1763888065815,9.5,805411225,16578573762,0,0,619708416,17930649
user generation,1763888092484,10.35,949380710,16578573762,0,0,731906048,20761804
user generation,1763888119111,10.6,1016699289,16578573762,0,0,784334848,22124953
user generation,1763888145879,9.04,1088774209,16578573762,0,0,840957952,23488102
user generation,1763888172466,9.23,1226213163,16578573762,0,0,950009856,26109542
user generation,1763888199056,9.15,1379758243,16578573762,0,0,1095216660,29045555
user generation,1763888225967,10.15,1533303324,16578573762,0,0,1224065679,31876710
user generation,1763888252552,9.26,1687922147,16578573762,0,0,1342177280,34707865
user generation,1763888279137,9.19,1848983420,16578573762,0,0,1481763717,37643878
user generation,1763888306011,9.47,2018634629,16578573762,0,0,1610612736,40684748
user generation,1763888332583,9.0,2182917128,16578573762,0,0,1739461754,43515904
user generation,1763888359165,9.23,2342904659,16578573762,0,0,1879048192,46347059
user generation,1763888386075,9.52,2477122387,16578573762,0,0,1986422374,48758784
user generation,1763888412640,9.55,2644626112,16578573762,0,0,2115271393,51694796
user generation,1763888439205,9.24,2809982353,16578573762,0,0,2254857830,54525952
user generation,1763888466150,9.04,2982854787,16578573762,0,0,2394444267,57566822
user generation,1763888492725,9.64,3155727220,16578573762,0,0,2534030704,60502835
user generation,1763888519309,9.24,3325378428,16578573762,0,0,2673617141,63438848
user generation,1763888546188,9.42,3496103378,16578573762,0,0,2813203578,66374860
user generation,1763888572748,9.38,3663607103,16578573762,0,0,2952790016,69206016
user generation,1763888599338,9.7,3821447151,16578573762,0,0,3070901616,71827456
count all with more than 1 friend,1763888626266,5.95,3869765533,16578573762,0,0,3113851289,195035136
count all with more than 1 friend,1763888652844,5.92,3868691791,16578573762,0,0,3124588707,395313152
count all with more than 1 friend,1763888679415,5.94,3868691791,16578573762,0,0,3124588707,608174080
count all with more than 1 friend,1763888706356,5.87,3868691791,16578573762,0,0,3124588707,823132160
count all with more than 1 friend,1763888732925,4.6,3868691791,16578573762,0,0,3135326126,1040187392
count all with more than 1 friend,1763888759502,6.0,3868691791,16578573762,0,0,3135326126,1277752770
count all with more than 1 friend,1763888786392,5.39,3868691791,16578573762,0,0,3135326126,1492501135
count all with more than 1 friend,1763888812984,5.89,3868691791,16578573762,0,0,3146063544,1707249500
count all with more than 1 friend,1763888839564,5.73,3868691791,16578573762,0,0,3146063544,1921997864
count all with more than 1 friend,1763888866449,4.72,3868691791,16578573762,0,0,3146063544,2147483648
count all with more than 1 friend,1763888893014,4.87,3869765533,16578573762,0,0,3156800962,2405181685
count all with more than 1 friend,1763888919587,5.31,3868691791,16578573762,0,0,3156800962,2662879723
count all with more than 1 friend,1763888946500,5.06,3868691791,16578573762,0,0,3167538380,2920577761
find 1 by id,1763888973066,4.82,3870839275,16578573762,0,0,3167538380,3189013217
find 1 by id,1763888999648,5.12,3868691791,16578573762,0,0,3178275799,3457448673
find 1 by id,1763889026592,4.87,3868691791,16578573762,0,0,3178275799,3725884129
find 1 by id,1763889053172,5.02,3868691791,16578573762,0,0,3178275799,3983582167
find 1 by id,1763889079754,5.06,3868691791,16578573762,0,0,3189013217,4252017623
find 1 by id,1763889106636,5.09,3868691791,16578573762,0,0,3189013217,4509715660
find 1 by id,1763889133224,5.23,3868691791,16578573762,0,0,3199750635,4767413698
find 1 by id,1763889159799,5.49,3868691791,16578573762,0,0,3199750635,5025111736
find 1 by id,1763889186721,5.1,3868691791,16578573762,0,0,3199750635,5272072355
find 1 by id,1763889213287,5.29,3868691791,16578573762,0,0,3210488053,5529770393
find 1 by id,1763889239851,5.03,3868691791,16578573762,0,0,3210488053,5787468431
find 1 by id,1763889266799,5.08,3868691791,16578573762,0,0,3221225472,6055903887
delete 1 by id with friendships,1763889293373,5.29,3868691791,16578573762,0,0,3221225472,6324339343
delete 1 by id with friendships,1763889319945,4.67,3869765533,16578573762,0,0,3231962890,6560562544
delete 1 by id with friendships,1763889346875,4.94,3868691791,16578573762,0,0,3231962890,6796785745
delete 1 by id with friendships,1763889373481,5.73,3868691791,16578573762,0,0,3231962890,7011534110
delete 1 by id with friendships,1763889400061,4.88,3868691791,16578573762,0,0,3242700308,7226282475
delete 1 by id with friendships,1763889426935,5.44,3868691791,16578573762,0,0,3242700308,7483980513
delete 1 by id with friendships,1763889453506,4.91,3868691791,16578573762,0,0,3242700308,7741678551
delete 1 by id with friendships,1763889480074,4.94,3868691791,16578573762,0,0,3253437726,7999376588
delete 1 by id with friendships,1763889506978,5.17,3868691791,16578573762,0,0,3253437726,8257074626
delete 1 by id with friendships,1763889533546,4.96,3868691791,16578573762,0,0,3264175144,8525510082
delete 1 by id with friendships,1763889560104,5.39,3868691791,16578573762,0,0,3264175144,8783208120
delete 1 by id with friendships,1763889587056,5.26,3868691791,16578573762,0,0,3274912563,9040906158
update 1 random,1763889613666,6.14,3870839275,16578573762,0,0,3274912563,9298604195
update 1 random,1763889640236,4.8,3868691791,16578573762,0,0,3274912563,9545564815
update 1 random,1763889667099,5.12,3868691791,16578573762,0,0,3285649981,9814000271
update 1 random,1763889693666,4.86,3868691791,16578573762,0,0,3285649981,10082435727
update 1 random,1763889720247,5.05,3868691791,16578573762,0,0,3296387399,10340133765
update 1 random,1763889747165,5.23,3868691791,16578573762,0,0,3296387399,10608569221
update 1 random,1763889773736,5.19,3869765533,16578573762,0,0,3307124817,10844792422
update 1 random,1763889800299,5.27,3869765533,16578573762,0,0,3307124817,11166914969
update 1 random,1763889827251,4.44,3868691791,16578573762,0,0,3307124817,11381663334
update 1 random,1763889853809,5.27,3868691791,16578573762,0,0,3317862236,11703785881
update 1 random,1763889880373,5.11,3868691791,16578573762,0,0,3317862236,11918534246
update 1 random,1763889907289,5.08,3868691791,16578573762,0,0,3328599654,12240656793
find 10 percent,1763889933862,4.96,3868691791,16578573762,0,0,3328599654,12455405158
