Operation,Time (ms)
Generate starting users,14589
Find all and interact with many to many relation,6087
Find by id,4
Delete by id with all friendships,9
Count all,2
Update user,4
Find 500(10 percent) random users,529
Update address for 500(10 percent) random users,852
Find 2500(50 percent) random users,2381
Update address for 2500(50 percent) random users,3799
Delete users with friends for 750(15 percent) random users,2403
Delete all users,47
