Operation,Time (ms)
Generate starting users,137679
Find all and interact with many to many relation,56279
Find by id,5
Delete by id with all friendships,8
Count all,2
Update user,3
Find 5000(10 percent) random users,5701
Update address for 5000(10 percent) random users,8761
Find 25000(50 percent) random users,28785
Update address for 25000(50 percent) random users,41401
Delete users with friends for 7500(15 percent) random users,23753
Delete all users,748
