Operation,Time (ms)
Generate starting users,242950
Find all and interact with many to many relation,99
Find by id,29
Delete by id with all friendships,63
Count all,211
Update user,22
Find 5000(10 percent) random users,193
Update address for 5000(10 percent) random users,10916
Find 25000(50 percent) random users,283
Update address for 25000(50 percent) random users,34522
Delete users with friends for 7500(15 percent) random users,54267
Delete all users,956
