Operation,Time (ms)
Generate starting users,44631
Find all and interact with many to many relation,5983
Find by id,23
Delete by id with all friendships,55
Count all,222
Update user,24
Find 500(10 percent) random users,1355
Update address for 500(10 percent) random users,1634
Find 2500(50 percent) random users,3423
Update address for 2500(50 percent) random users,3854
Delete users with friends for 750(15 percent) random users,8258
Delete all users,11982
