Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763831748555,21.05,568328192,16578573762,0,0,156,134
user generation,1763831755150,25.52,572627353,16578573762,0,0,1059061,670
user generation,1763831761741,25.57,573151641,16578573762,0,0,2044723,1310720
user generation,1763831768311,24.85,575353651,16578573762,0,0,3061841,1950351
user generation,1763831774902,27.41,575773081,16578573762,0,0,4089446,2589982
user generation,1763831781481,29.08,576087654,16578573762,0,0,5148508,3250585
user generation,1763831788323,27.42,576087654,16578573762,0,0,6343884,3995074
user generation,1763831794893,26.51,575982796,16578573762,0,0,7644119,4802478
user generation,1763831801460,25.84,578709094,16578573762,0,0,8954839,5620367
user generation,1763831808332,26.45,580596531,16578573762,0,0,10328473,6480199
user generation,1763831814911,26.31,580386816,16578573762,0,0,11639193,7308574
user generation,1763831821489,25.94,580806246,16578573762,0,0,13002342,8126464
user generation,1763831828329,26.38,581015961,16578573762,0,0,14365491,8986296
user generation,1763831834898,26.56,583113113,16578573762,0,0,15623782,9804185
user generation,1763831841464,26.09,583217971,16578573762,0,0,16986931,10590617
user generation,1763831848352,25.74,585419980,16578573762,0,0,18350080,11429478
user generation,1763831854931,26.25,587936563,16578573762,0,0,19713228,12373196
user generation,1763831861509,25.98,587831705,16578573762,0,0,20971520,13107200
user generation,1763831868374,26.3,589928857,16578573762,0,0,22439526,14050918
user generation,1763831874948,26.56,592445440,16578573762,0,0,23697817,14784921
user generation,1763831881527,24.89,594752307,16578573762,0,0,24956108,15623782
user generation,1763831888388,26.73,596744601,16578573762,0,0,26319257,16462643
user generation,1763831894965,26.82,597059174,16578573762,0,0,27682406,17301504
user generation,1763831901544,26.23,597059174,16578573762,0,0,28940697,18140364
user generation,1763831908411,25.91,597059174,16578573762,0,0,30408704,18979225
user generation,1763831914980,26.87,597373747,16578573762,0,0,31666995,19818086
user generation,1763831921577,26.74,599470899,16578573762,0,0,33030144,20656947
user generation,1763831928417,26.29,601987481,16578573762,0,0,34393292,21495808
user generation,1763831934995,27.41,601777766,16578573762,0,0,35756441,22334668
user generation,1763831941569,26.75,602092339,16578573762,0,0,37014732,23173529
user generation,1763831948431,26.01,602092339,16578573762,0,0,38482739,24012390
user generation,1763831955014,26.89,606391500,16578573762,0,0,39741030,24851251
user generation,1763831961585,26.47,606601216,16578573762,0,0,41104179,25690112
update 10 percent,1763831968452,32.05,612053811,16578573762,0,0,42572185,33554432
update 10 percent,1763831975017,33.16,614150963,16578573762,0,0,44249907,35546726
update 50 percent,1763831981592,32.96,626104729,16578573762,0,0,46871347,40579891
update 50 percent,1763831988451,32.61,625999872,16578573762,0,0,48863641,42677043
update 50 percent,1763831995023,33.22,625999872,16578573762,0,0,50751078,44774195
update 50 percent,1763832001601,32.88,625999872,16578573762,0,0,52533657,46871347
update 50 percent,1763832008455,33.23,625999872,16578573762,0,0,54525952,49073356
delete 15 percent with friends,1763832015039,33.36,630928179,16578573762,0,0,55889100,52533657
delete 15 percent with friends,1763832021605,33.61,633025331,16578573762,0,0,57042534,53372518
delete 15 percent with friends,1763832028482,34.65,632815616,16578573762,0,0,58300825,54211379
delete 15 percent with friends,1763832035083,32.95,632920473,16578573762,0,0,59454259,54945382
delete 15 percent with friends,1763832041670,32.26,632920473,16578573762,0,0,60712550,55784243
delete 15 percent with friends,1763832048509,33.05,633130188,16578573762,0,0,62075699,56623104
delete 15 percent with friends,1763832055087,35.2,633235046,16578573762,0,0,63333990,57461964
delete all,1763832061680,56.31,640575078,16578573762,0,0,64487424,58300825
