Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763844330279,21.38,600729190,16578573762,0,0,113,108
user generation,1763844341863,24.36,603245772,16578573762,0,0,1090519,687
user generation,1763844353441,24.92,603140915,16578573762,0,0,2107637,1352663
user generation,1763844366008,24.87,603350630,16578573762,0,0,3208642,2044723
user generation,1763844378020,24.77,605447782,16578573762,0,0,4278190,2705326
user generation,1763844389585,25.23,608069222,16578573762,0,0,5263851,3323985
user generation,1763844401152,25.32,610271232,16578573762,0,0,6301941,3963617
user generation,1763844412743,25.73,612368384,16578573762,0,0,7392460,4645191
user generation,1763844424331,26.22,614465536,16578573762,0,0,8482979,5326766
user generation,1763844436049,24.62,614675251,16578573762,0,0,9552527,5997854
user generation,1763844448065,23.03,614884966,16578573762,0,0,10590617,6668943
user generation,1763844459651,24.43,615094681,16578573762,0,0,11639193,7319060
user generation,1763844471229,24.21,615094681,16578573762,0,0,12792627,8000634
user generation,1763844482824,25.89,617401548,16578573762,0,0,13841203,8671723
user generation,1763844494391,25.62,617401548,16578573762,0,0,14889779,9342812
user generation,1763844506101,24.49,617401548,16578573762,0,0,16043212,10024386
user generation,1763844518112,24.38,619918131,16578573762,0,0,17091788,10695475
user generation,1763844529688,24.63,619918131,16578573762,0,0,18140364,11324620
user generation,1763844541261,25.18,620756992,16578573762,0,0,19188940,12058624
user generation,1763844552875,25.09,621281280,16578573762,0,0,20237516,12687769
user generation,1763844564455,14.66,623063859,16578573762,0,0,21076377,13212057
user generation,1763844576156,14.79,623063859,16578573762,0,0,21705523,13526630
user generation,1763844588168,14.61,623168716,16578573762,0,0,22334668,13946060
user generation,1763844599760,14.13,623483289,16578573762,0,0,22963814,14365491
user generation,1763844611341,14.38,625475584,16578573762,0,0,23488102,14680064
user generation,1763844622937,14.05,625370726,16578573762,0,0,24117248,15099494
user generation,1763844634547,14.52,627572736,16578573762,0,0,24746393,15414067
user generation,1763844646176,9.29,629669888,16578573762,0,0,25375539,15833497
user generation,1763844658202,13.77,632081612,16578573762,0,0,25899827,16148070
user generation,1763844669776,14.16,633969049,16578573762,0,0,26424115,16567500
user generation,1763844681354,13.31,634283622,16578573762,0,0,27053260,16882073
user generation,1763844692953,13.3,638268211,16578573762,0,0,27577548,17196646
user generation,1763844704544,14.26,638268211,16578573762,0,0,28206694,17616076
