Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763836250594,136.2,3081639034,16578573762,0,0,147,693
user generation,1763836262176,95.98,3108482580,16578573762,0,0,3523215,1195376
user generation,1763836273755,45.08,3108482580,16578573762,0,0,8776581,1929379
user generation,1763836285426,47.81,3093450194,16578573762,0,0,14889779,2778726
user generation,1763836297452,43.28,3094523936,16578573762,0,0,21286092,3670016
user generation,1763836309034,44.2,3069827874,16578573762,0,0,27472691,4529848
user generation,1763836320610,44.33,3069827874,16578573762,0,0,33659289,5389680
user generation,1763836332179,43.24,3069827874,16578573762,0,0,39845888,6249512
user generation,1763836343769,45.69,3078417809,16578573762,0,0,46032486,7109345
user generation,1763836355510,42.75,3078417809,16578573762,0,0,52428800,8000634
user generation,1763836367514,44.68,3074122842,16578573762,0,0,58825113,8902410
user generation,1763836379102,76.76,3078417809,16578573762,0,0,65116569,9772728
find 10 percent,1763836390686,111.26,3178275799,16578573762,0,0,67528294,166723584
update 10 percent,1763836402258,39.25,3185791991,16578573762,0,0,72980889,173015040
find 50 percent,1763836413832,62.84,3192234442,16578573762,0,0,93532979,246415360
update 50 percent,1763836425549,44.91,3206193086,16578573762,0,0,102236160,252706816
update 50 percent,1763836437568,38.57,3206193086,16578573762,0,0,109051904,253755392
update 50 percent,1763836449133,38.72,3198676893,16578573762,0,0,116391936,254803968
update 50 percent,1763836460713,43.02,3198676893,16578573762,0,0,123731968,255852544
delete 15 percent with friends,1763836472295,36.6,3192234442,16578573762,0,0,128974848,308281344
delete 15 percent with friends,1763836483881,35.41,3197603151,16578573762,0,0,131072000,310378496
delete 15 percent with friends,1763836495607,36.5,3197603151,16578573762,0,0,134217728,311427072
