Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763895572751,121.82,3079491551,16578573762,0,0,149,693
user generation,1763895599655,47.4,3084860260,16578573762,0,0,11010048,2233466
user generation,1763895626232,47.74,3066606649,16578573762,0,0,25480396,4246732
user generation,1763895652796,42.87,3063385423,16578573762,0,0,39845888,6249512
user generation,1763895679704,42.87,3064459165,16578573762,0,0,54525952,8304721
user generation,1763895706269,44.67,3102040129,16578573762,0,0,68996300,10317987
user generation,1763895732836,42.88,3102040129,16578573762,0,0,83676364,12373196
user generation,1763895759780,43.14,3097745162,16578573762,0,0,98775859,14470348
user generation,1763895786351,44.31,3097745162,16578573762,0,0,113246208,16567500
user generation,1763895812943,38.89,3098818904,16578573762,0,0,127926272,18559795
user generation,1763895839824,40.2,3106335096,16578573762,0,0,142606336,20552089
user generation,1763895866422,41.72,3105261355,16578573762,0,0,156237824,22439526
count all with more than 1 friend,1763895893003,32.38,3190086959,16578573762,0,0,167772160,115343360
update 10 percent,1763895919886,47.28,3262027661,16578573762,0,0,177209344,432013312
find 50 percent,1763895946483,70.96,3265248886,16578573762,0,0,205520896,571473920
update 50 percent,1763895973052,36.77,3269543854,16578573762,0,0,326107136,632291328
update 50 percent,1763895999889,37.27,3277060046,16578573762,0,0,343932928,634388480
update 50 percent,1763896026466,38.18,3274912563,16578573762,0,0,362807296,637534208
update 50 percent,1763896053039,36.27,3273838821,16578573762,0,0,380633088,639631360
update 50 percent,1763896079941,35.44,3270617595,16578573762,0,0,399507456,642777088
delete 15 percent with friends,1763896106521,36.71,3293166174,16578573762,0,0,407896064,775946240
delete 15 percent with friends,1763896133092,37.45,3213709279,16578573762,0,0,412090368,778043392
delete 15 percent with friends,1763896160022,37.49,3212635537,16578573762,0,0,418381824,781189120
